name,required,category,project_count,oldest_commit,newest_commit,commit_count
pickletools,False,language,10,2003-01-27,2019-05-26,101
pipes,False,unix,56,1992-10-18,2011-09-02,21
pkgutil,False,modules,199,2002-12-23,2020-06-17,61
platform,False,allos,743,2003-04-24,2021-01-02,175
plistlib,False,fileformats,84,2008-01-21,2020-11-03,40
poplib,False,internet,1,1998-04-06,2020-01-10,66
posix,True,unix,12,1990-10-14,2021-02-04,1171
pprint,False,datatypes,329,1997-04-16,2020-11-23,68
profile,False,debug,31,1992-04-21,2021-01-20,88
pstats,False,debug,58,1994-06-23,2020-09-19,87
pty,False,unix,31,1994-09-12,2020-02-05,32
pwd,False,unix,83,1991-04-10,2020-11-18,77
py_compile,False,language,20,1994-08-29,2020-07-25,62
pyclbr,False,language,0,1995-07-28,2021-02-01,53
pydoc,False,development,42,2001-02-27,2021-03-01,414
queue,False,concurrency,248,2008-05-11,2020-12-28,28
quopri,False,netdata,4,1995-06-14,2019-09-01,32
random,False,numeric,881,1994-03-09,2021-02-04,264
re,False,text,2310,1997-07-10,2021-01-25,552
readline,False,text,49,1997-08-05,2021-02-16,201
reprlib,False,datatypes,23,2008-05-16,2017-09-07,14
resource,False,unix,75,1996-12-18,2021-02-18,62
rlcompleter,False,text,12,1997-09-26,2020-06-30,45
runpy,False,modules,52,2006-04-21,2020-03-31,41
sched,False,concurrency,5,1991-04-07,2020-10-19,44
secrets,False,crypto,30,2016-04-15,2020-04-17,6
select,False,ipc,191,1992-06-23,2020-12-01,234
selectors,False,ipc,27,2013-09-04,2020-07-22,48
shelve,False,persistence,21,1995-01-10,2020-10-29,47
shlex,False,frameworks,349,1998-12-22,2020-04-01,48
shutil,False,filesys,958,1990-10-13,2021-03-02,205
signal,True,ipc,354,1994-05-11,2021-03-05,247
site,False,python,84,1996-08-17,2020-12-20,186
smtpd,False,internet,6,2001-01-31,2020-11-22,64
smtplib,False,internet,32,1998-01-29,2021-01-02,184
sndhdr,False,mm,1,1994-01-14,2020-06-20,17
socket,False,ipc,616,1991-06-25,2021-01-06,870
socketserver,False,internet,60,2008-05-12,2020-12-31,70
spwd,False,unix,4,2005-01-23,2020-11-19,23
sqlite3,False,persistence,86,2006-04-21,2021-03-04,266
ssl,False,ipc,283,2002-02-16,2020-12-02,539
stat,False,filesys,240,1990-10-21,2020-05-19,29
statistics,False,numeric,21,2013-10-19,2021-02-07,65
string,False,text,553,1990-10-13,2021-02-26,1674
stringprep,False,text,11,2003-04-18,2007-05-07,8
struct,False,binary,572,2006-05-27,2020-12-28,158
subprocess,False,concurrency,1101,2004-10-12,2021-03-04,511
sunau,False,mm,1,1993-12-13,2019-06-18,39
symtable,False,language,2,2001-02-02,2020-11-18,53
sys,False,python,2975,1990-10-14,2021-02-28,504
sysconfig,False,python,145,1996-08-08,2021-01-31,128
syslog,False,unix,11,1994-07-14,2020-05-05,48
tabnanny,False,language,1,1998-03-31,2017-05-04,33
tarfile,False,archiving,196,2003-01-05,2020-12-12,213
telnetlib,False,internet,12,1997-12-24,2019-06-24,51
tempfile,False,filesys,1081,1991-11-12,2021-03-03,178
termios,False,unix,88,1994-09-12,2020-10-18,57
textwrap,False,text,516,2002-06-07,2020-10-18,71
this,False,eastereggs,3,2002-02-08,2007-02-09,5
threading,False,concurrency,930,1998-04-09,2021-02-02,216
time,True,allos,1587,1990-10-14,2021-03-03,454
timeit,False,debug,137,2003-03-05,2020-09-22,60
tkinter,False,tk,46,1994-06-20,2021-01-21,574
token,False,language,24,1993-11-11,2019-03-07,39
tokenize,False,language,118,1992-01-01,2021-01-24,138
trace,False,debug,9,2003-02-18,2021-02-01,93
traceback,False,python,630,1994-07-01,2021-02-23,97
tracemalloc,False,debug,17,2013-11-23,2020-12-16,116
tty,False,unix,35,1994-09-12,2001-03-01,5
turtle,False,frameworks,3,1998-12-04,2020-09-07,55
turtledemo,False,frameworks,0,2010-11-01,2020-04-29,39
types,False,datatypes,701,1994-06-23,2021-01-25,77
typing,False,development,721,2015-05-22,2021-01-10,126
unicodedata,False,text,191,2000-03-10,2021-01-20,157
unittest,False,development,1580,2009-07-19,2021-01-15,385
urllib,False,internet,938,1996-06-26,2021-02-15,420
uu,False,netdata,1,1994-09-09,2019-12-02,38
uuid,False,internet,670,2006-08-11,2020-07-22,80
venv,False,distribution,7,2012-05-26,2020-07-28,88
warnings,True,python,1409,2000-12-15,2021-02-19,223
wave,False,mm,11,1994-02-15,2019-11-04,55
weakref,True,datatypes,342,2001-02-01,2020-04-13,124
webbrowser,False,internet,108,2000-07-09,2020-11-08,102
winreg,False,windows,60,2000-03-28,2021-02-04,84
winsound,False,windows,0,1999-02-04,2017-11-05,34
wsgiref,False,internet,74,2006-08-11,2019-05-24,54
xdrlib,False,fileformats,2,1996-08-19,2014-10-10,30
xml,False,markup,342,2000-03-31,2021-02-24,877
xmlrpc,False,internet,51,2008-05-26,2019-11-13,105
zipapp,False,distribution,2,2015-03-13,2017-09-29,8
zipfile,False,archiving,273,2000-03-31,2020-12-15,218
zipimport,True,modules,28,2018-09-18,2020-12-18,10
zlib,False,archiving,247,1997-04-29,2020-12-01,193
zoneinfo,False,datatypes,7,2020-05-16,2021-03-03,23
